service_date,day_type,bus,rail_boardings,total_rides
08/31/2018,W,773345,726643,1499988
09/01/2018,A,457556,415563,873119
09/02/2018,U,393446,368715,762161
09/03/2018,U,330488,293772,624260
09/04/2018,W,864262,756397,1620659
09/05/2018,W,854763,785143,1639906
09/06/2018,W,819596,786139,1605735
09/07/2018,W,814560,796057,1610617
09/08/2018,A,486855,460892,947747
09/09/2018,U,361946,329445,691391
09/10/2018,W,844530,792245,1636775
09/11/2018,W,861007,818737,1679744
09/12/2018,W,865443,835997,1701440
09/13/2018,W,851071,821484,1672555
09/14/2018,W,841332,833730,1675062
09/15/2018,A,498240,505429,1003669
09/16/2018,U,375988,375547,751535
09/17/2018,W,839178,794968,1634146
09/18/2018,W,846003,796654,1642657
09/19/2018,W,844257,786851,1631108
09/20/2018,W,840571,812664,1653235
09/21/2018,W,829287,806274,1635561
09/22/2018,A,497023,464531,961554
09/23/2018,U,373382,331323,704705
09/24/2018,W,829917,806181,1636098
09/25/2018,W,843206,813982,1657188
09/26/2018,W,868419,838474,1706893
09/27/2018,W,858664,847133,1705797
09/28/2018,W,824823,816264,1641087
09/29/2018,A,492591,500479,993070
09/30/2018,U,365436,362732,728168
10/01/2018,W,878697,808415,1687112
10/02/2018,W,870588,824655,1695243
10/03/2018,W,910415,829500,1739915
10/04/2018,W,875646,845234,1720880
10/05/2018,W,798129,781321,1579450
